epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5395.56,1.45074,1.15899,1.02842,0.50938,0.41871,0.40113,0.23676,1.3626,1.06106,1.01879,0.005842,0.005842,0.005842
65,5479.71,1.44091,1.14429,1.02376,0.50922,0.41553,0.40308,0.23914,1.35781,1.05881,1.0185,0.005776,0.005776,0.005776
66,5564.08,1.45156,1.15487,1.02941,0.50697,0.41984,0.4028,0.23794,1.35801,1.05545,1.0173,0.00571,0.00571,0.00571
67,5648.34,1.44639,1.1465,1.02475,0.50706,0.41819,0.40399,0.23844,1.3576,1.0523,1.01641,0.005644,0.005644,0.005644
68,5732.45,1.44698,1.14146,1.0242,0.51092,0.41752,0.4057,0.23943,1.35393,1.0532,1.0181,0.005578,0.005578,0.005578
69,5816.33,1.43874,1.14596,1.02594,0.51127,0.41449,0.40419,0.24082,1.34985,1.0513,1.01566,0.005512,0.005512,0.005512
70,5900.28,1.44482,1.14455,1.0258,0.51005,0.41536,0.40783,0.24319,1.35008,1.0481,1.01454,0.005446,0.005446,0.005446
71,5984.16,1.4363,1.13516,1.02208,0.51582,0.42128,0.41116,0.24458,1.3472,1.04154,1.01505,0.00538,0.00538,0.00538
72,6068.51,1.44143,1.13867,1.02443,0.503,0.42086,0.40768,0.24151,1.34663,1.04566,1.01263,0.005314,0.005314,0.005314
73,6152.95,1.43705,1.13178,1.02308,0.51624,0.41998,0.4138,0.24639,1.34346,1.0399,1.01286,0.005248,0.005248,0.005248
74,6237.42,1.44408,1.13594,1.02113,0.51751,0.42346,0.41229,0.24498,1.34522,1.04235,1.01274,0.005182,0.005182,0.005182
75,6321.39,1.42902,1.12547,1.02068,0.51616,0.42277,0.41334,0.24551,1.34301,1.03999,1.01011,0.005116,0.005116,0.005116
76,6405.51,1.42743,1.12164,1.02371,0.52668,0.42,0.41609,0.24706,1.34025,1.0327,1.01132,0.00505,0.00505,0.00505
77,6489.65,1.42776,1.12205,1.01809,0.52104,0.42271,0.41493,0.24773,1.34123,1.03717,1.01109,0.004984,0.004984,0.004984
78,6573.94,1.42954,1.12798,1.01884,0.51853,0.42505,0.41817,0.24759,1.34198,1.03019,1.0101,0.004918,0.004918,0.004918
79,6657.58,1.42402,1.1234,1.01979,0.52645,0.42744,0.41953,0.24876,1.34256,1.0306,1.01241,0.004852,0.004852,0.004852
80,6741.73,1.42885,1.1246,1.01916,0.53201,0.41804,0.41877,0.24998,1.33828,1.0286,1.00876,0.004786,0.004786,0.004786
81,6825.69,1.43186,1.11917,1.02053,0.52188,0.43297,0.4183,0.2496,1.33659,1.0279,1.0076,0.00472,0.00472,0.00472
82,6910.06,1.42349,1.11191,1.01556,0.53351,0.42761,0.42318,0.25124,1.33643,1.02794,1.00838,0.004654,0.004654,0.004654
83,6993.91,1.42064,1.1133,1.01686,0.5197,0.4297,0.42038,0.25048,1.33622,1.0277,1.00757,0.004588,0.004588,0.004588
84,7077.56,1.42239,1.10808,1.01703,0.52109,0.43388,0.42225,0.25231,1.33295,1.02436,1.00629,0.004522,0.004522,0.004522
85,7161.54,1.42314,1.114,1.01654,0.52603,0.43507,0.42371,0.2527,1.33494,1.02232,1.00703,0.004456,0.004456,0.004456
86,7245.77,1.41789,1.10569,1.01658,0.53214,0.43319,0.427,0.2553,1.33367,1.02205,1.00702,0.00439,0.00439,0.00439
87,7329.83,1.415,1.10684,1.01312,0.52578,0.43231,0.42525,0.25394,1.33338,1.02189,1.00707,0.004324,0.004324,0.004324
88,7413.73,1.4083,1.09524,1.01189,0.53091,0.43329,0.426,0.25409,1.33239,1.02164,1.00659,0.004258,0.004258,0.004258
89,7497.32,1.41333,1.09665,1.01295,0.52884,0.43547,0.42777,0.25538,1.3309,1.01869,1.00549,0.004192,0.004192,0.004192
