epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6942.41,1.42148,0.85253,1.01908,0.79085,0.62268,0.7107,0.41995,1.33505,0.78092,1.01097,0.004522,0.004522,0.004522
85,7024.92,1.42089,0.85023,1.01846,0.78977,0.62206,0.7097,0.41963,1.33665,0.77902,1.0124,0.004456,0.004456,0.004456
86,7107.47,1.41315,0.84669,1.01737,0.78985,0.6239,0.7108,0.42004,1.33337,0.77657,1.01155,0.00439,0.00439,0.00439
87,7189.68,1.4126,0.84548,1.01336,0.79617,0.62408,0.71197,0.42094,1.33214,0.7748,1.00991,0.004324,0.004324,0.004324
88,7272.27,1.40792,0.84066,1.01337,0.79258,0.62467,0.71198,0.42071,1.33266,0.77504,1.00906,0.004258,0.004258,0.004258
89,7354.52,1.41349,0.84258,1.01508,0.79061,0.62735,0.7134,0.42189,1.32917,0.77474,1.00825,0.004192,0.004192,0.004192
90,7437.17,1.41313,0.84558,1.01693,0.79181,0.62969,0.71352,0.42273,1.32887,0.7741,1.00881,0.004126,0.004126,0.004126
91,7519.97,1.40789,0.84015,1.01535,0.79083,0.62928,0.71394,0.4229,1.32631,0.77247,1.00821,0.00406,0.00406,0.00406
92,7602.5,1.40996,0.8376,1.01194,0.78716,0.63107,0.71424,0.42335,1.32798,0.77134,1.00912,0.003994,0.003994,0.003994
93,7684.73,1.40337,0.83634,1.01247,0.79213,0.62821,0.71406,0.42332,1.32741,0.77297,1.00834,0.003928,0.003928,0.003928
94,7767.09,1.4099,0.83815,1.01414,0.79292,0.62826,0.71453,0.42372,1.3254,0.77136,1.0076,0.003862,0.003862,0.003862
95,7849.78,1.40358,0.83172,1.01233,0.79162,0.6295,0.71656,0.42433,1.32509,0.76964,1.00703,0.003796,0.003796,0.003796
96,7932.03,1.40146,0.83198,1.01189,0.78991,0.63192,0.71737,0.42441,1.3253,0.76953,1.00746,0.00373,0.00373,0.00373
97,8014.72,1.39823,0.83109,1.01281,0.78999,0.63094,0.71759,0.42471,1.32557,0.76829,1.0076,0.003664,0.003664,0.003664
98,8097.09,1.4035,0.83134,1.00966,0.79363,0.63076,0.71875,0.42569,1.32422,0.76685,1.00744,0.003598,0.003598,0.003598
99,8179.53,1.39558,0.82905,1.01035,0.79128,0.63401,0.71977,0.42628,1.32386,0.76579,1.00677,0.003532,0.003532,0.003532
100,8261.53,1.39196,0.82341,1.00572,0.79335,0.63254,0.71949,0.42656,1.32342,0.76577,1.00654,0.003466,0.003466,0.003466
101,8343.82,1.39287,0.82367,1.00889,0.79351,0.63058,0.7192,0.42658,1.32295,0.76516,1.0057,0.0034,0.0034,0.0034
102,8426.34,1.39609,0.82322,1.00757,0.79862,0.62949,0.72042,0.42713,1.32305,0.76552,1.00539,0.003334,0.003334,0.003334
103,8508.31,1.38493,0.81877,1.00634,0.79748,0.63133,0.72032,0.42735,1.32055,0.76378,1.00457,0.003268,0.003268,0.003268
104,8591.19,1.39476,0.82381,1.01132,0.79274,0.63476,0.72105,0.42798,1.31953,0.76309,1.00431,0.003202,0.003202,0.003202
105,8673.6,1.38773,0.81733,1.0062,0.79577,0.63446,0.72093,0.42771,1.3208,0.76252,1.00428,0.003136,0.003136,0.003136
106,8755.95,1.39346,0.82328,1.00935,0.79786,0.63272,0.72096,0.42787,1.31924,0.76162,1.00342,0.00307,0.00307,0.00307
107,8838.59,1.38878,0.81433,1.00502,0.79514,0.63561,0.72182,0.42817,1.31962,0.76126,1.00354,0.003004,0.003004,0.003004
108,8920.6,1.38875,0.81721,1.00618,0.79303,0.63756,0.72249,0.42951,1.31848,0.76032,1.00302,0.002938,0.002938,0.002938
109,9003.03,1.38585,0.81566,1.00719,0.79509,0.63724,0.72293,0.42963,1.31751,0.75993,1.00273,0.002872,0.002872,0.002872
110,9085.51,1.38113,0.81187,1.00215,0.79469,0.63614,0.72272,0.4292,1.31767,0.75926,1.00318,0.002806,0.002806,0.002806
111,9168.26,1.38099,0.81107,1.00278,0.7948,0.6356,0.7228,0.42967,1.31652,0.75825,1.00278,0.00274,0.00274,0.00274
112,9250.08,1.37714,0.80852,1.00412,0.79548,0.63649,0.72341,0.43,1.31697,0.75737,1.00254,0.002674,0.002674,0.002674
113,9332.58,1.37753,0.80392,0.99899,0.79804,0.63609,0.72313,0.43049,1.31656,0.7559,1.0021,0.002608,0.002608,0.002608
114,9415.27,1.37912,0.80834,1.00227,0.79891,0.6376,0.72448,0.43088,1.31555,0.75535,1.00155,0.002542,0.002542,0.002542
115,9498.15,1.36856,0.79902,0.99574,0.79758,0.63948,0.72469,0.43153,1.31526,0.75482,1.00107,0.002476,0.002476,0.002476
116,9580.11,1.3787,0.80456,1.00037,0.79729,0.63881,0.72479,0.43145,1.31474,0.75489,1.0009,0.00241,0.00241,0.00241
117,9662,1.37043,0.80142,1.00072,0.79592,0.6392,0.72484,0.43205,1.31424,0.75423,1.00048,0.002344,0.002344,0.002344
118,9744.82,1.37369,0.79836,0.99903,0.80066,0.6369,0.72486,0.43202,1.3135,0.75377,1,0.002278,0.002278,0.002278
119,9828.2,1.36978,0.79985,0.99834,0.79961,0.63809,0.72508,0.43216,1.31338,0.75361,0.99998,0.002212,0.002212,0.002212
120,9911.52,1.36937,0.79704,0.99704,0.79937,0.63817,0.72543,0.43228,1.31295,0.75249,0.99951,0.002146,0.002146,0.002146
121,9994.01,1.36356,0.79215,0.9979,0.79896,0.63793,0.72547,0.43263,1.31287,0.75227,0.99943,0.00208,0.00208,0.00208
122,10077.7,1.36631,0.79362,0.99683,0.80061,0.63762,0.72564,0.43294,1.3132,0.75131,0.99926,0.002014,0.002014,0.002014
