epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,69.4905,1.17335,0.69366,1.03762,0.90413,0.81522,0.85644,0.51365,1.38522,0.77394,1.04542,0.0008252,0.0008252,0.0008252
91,70.111,1.21913,0.64816,0.9571,0.90413,0.81522,0.85644,0.51365,1.38522,0.77394,1.04542,0.000812,0.000812,0.000812
92,70.7467,1.13915,0.73458,1.08191,0.90193,0.81641,0.85532,0.52661,1.33781,0.76564,1.03347,0.0007988,0.0007988,0.0007988
93,71.5221,1.21153,0.74018,1.02795,0.90193,0.81641,0.85532,0.52661,1.33781,0.76564,1.03347,0.0007856,0.0007856,0.0007856
94,72.2041,1.41195,0.71875,1.00587,0.89779,0.81151,0.85514,0.53348,1.31267,0.77524,1.02885,0.0007724,0.0007724,0.0007724
95,72.8119,1.24947,0.7135,1.02523,0.89779,0.81151,0.85514,0.53348,1.31267,0.77524,1.02885,0.0007592,0.0007592,0.0007592
96,73.423,1.38629,0.71007,0.99643,0.89956,0.81341,0.85471,0.53508,1.30427,0.77467,1.02774,0.000746,0.000746,0.000746
97,74.0053,1.30973,0.69015,1.06555,0.89956,0.81341,0.85471,0.53508,1.30427,0.77467,1.02774,0.0007328,0.0007328,0.0007328
98,74.6394,1.33045,0.66234,1.01368,0.89436,0.80435,0.84936,0.53648,1.29677,0.77789,1.02512,0.0007196,0.0007196,0.0007196
99,75.2676,1.22652,0.70861,0.97977,0.89436,0.80435,0.84936,0.53648,1.29677,0.77789,1.02512,0.0007064,0.0007064,0.0007064
100,75.8613,1.2877,0.74683,0.99445,0.89927,0.80978,0.85066,0.53704,1.29249,0.76885,1.02232,0.0006932,0.0006932,0.0006932
101,76.5281,1.25922,0.79026,1.04314,0.89927,0.80978,0.85066,0.53704,1.29249,0.76885,1.02232,0.00068,0.00068,0.00068
102,77.153,1.29132,0.70413,0.97223,0.90259,0.81159,0.85793,0.54054,1.29754,0.75587,1.02206,0.0006668,0.0006668,0.0006668
103,77.7571,1.21118,0.70317,0.99182,0.90259,0.81159,0.85793,0.54054,1.29754,0.75587,1.02206,0.0006536,0.0006536,0.0006536
104,78.5559,1.259,0.6763,1.00403,0.91727,0.82355,0.86898,0.545,1.30367,0.735,1.01902,0.0006404,0.0006404,0.0006404
105,79.1535,1.21835,0.70909,0.98303,0.91727,0.82355,0.86898,0.545,1.30367,0.735,1.01902,0.0006272,0.0006272,0.0006272
106,79.7985,1.35308,0.76628,1.08943,0.92946,0.83546,0.87952,0.546,1.31739,0.71374,1.01883,0.000614,0.000614,0.000614
